Paid At일	측정값 이름	측정값
2023년 2월 1일	총 매출	2,119,600.00
2023년 2월 2일	총 매출	1,637,525.00
2023년 2월 3일	총 매출	4,315,925.00
2023년 2월 4일	총 매출	2,592,500.00
2023년 2월 5일	총 매출	2,078,900.00
2023년 2월 6일	총 매출	2,684,900.00
2023년 2월 7일	총 매출	1,921,000.00
2023년 2월 8일	총 매출	3,021,000.00
2023년 2월 9일	총 매출	3,494,025.00
2023년 2월 10일	총 매출	2,415,500.00
2023년 2월 11일	총 매출	765,600.00
2023년 2월 12일	총 매출	1,349,200.00
2023년 2월 13일	총 매출	4,313,420.00
2023년 2월 14일	총 매출	2,865,900.00
2023년 2월 15일	총 매출	2,445,100.00
2023년 2월 16일	총 매출	3,650,900.00
2023년 2월 17일	총 매출	2,389,900.00
2023년 2월 18일	총 매출	2,333,500.00
2023년 2월 19일	총 매출	7,122,800.00
2023년 2월 20일	총 매출	4,409,900.00
2023년 2월 21일	총 매출	4,667,500.00
2023년 2월 22일	총 매출	3,079,200.00
2023년 2월 23일	총 매출	4,564,100.00
2023년 2월 24일	총 매출	4,088,300.00
2023년 2월 25일	총 매출	3,442,100.00
2023년 2월 26일	총 매출	2,333,600.00
2023년 2월 27일	총 매출	3,233,700.00
2023년 2월 28일	총 매출	2,383,600.00
2023년 3월 1일	총 매출	1,904,300.00
2023년 3월 2일	총 매출	6,213,625.00
2023년 3월 3일	총 매출	3,854,500.00
2023년 3월 4일	총 매출	1,273,500.00
2023년 3월 5일	총 매출	1,926,500.00
2023년 3월 6일	총 매출	6,471,500.00
2023년 3월 7일	총 매출	4,219,000.00
2023년 3월 8일	총 매출	5,169,500.00
2023년 3월 9일	총 매출	2,290,000.00
2023년 3월 10일	총 매출	3,179,500.00
2023년 3월 11일	총 매출	1,535,000.00
2023년 3월 12일	총 매출	2,367,500.00
2023년 3월 13일	총 매출	454,000.00
2022년 10월 1일	Old	839,000.00
2022년 10월 2일	Old	933,000.00
2022년 10월 3일	Old	1,156,600.00
2022년 10월 4일	Old	2,009,200.00
2022년 10월 5일	Old	1,500,500.00
2022년 10월 6일	Old	2,961,450.00
2022년 10월 7일	Old	1,471,600.00
2022년 10월 8일	Old	234,500.00
2022년 10월 9일	Old	375,000.00
2022년 10월 10일	Old	1,512,600.00
2022년 10월 11일	Old	2,141,000.00
2022년 10월 12일	Old	870,000.00
2022년 10월 13일	Old	2,906,700.00
2022년 10월 14일	Old	1,398,500.00
2022년 10월 15일	Old	2,265,400.00
2022년 10월 16일	Old	975,500.00
2022년 10월 17일	Old	1,656,000.00
2022년 10월 18일	Old	2,063,500.00
2022년 10월 19일	Old	1,384,900.00
2022년 10월 20일	Old	1,104,600.00
2022년 10월 21일	Old	763,500.00
2022년 10월 22일	Old	743,000.00
2022년 10월 23일	Old	801,000.00
2022년 10월 24일	Old	603,830.00
2022년 10월 25일	Old	1,088,000.00
2022년 10월 26일	Old	2,351,400.00
2022년 10월 27일	Old	1,024,500.00
2022년 10월 28일	Old	1,728,500.00
2022년 10월 29일	Old	754,000.00
2022년 10월 30일	Old	475,000.00
2022년 10월 31일	Old	1,474,500.00
2022년 11월 1일	Old	2,504,100.00
2022년 11월 2일	Old	1,763,660.00
2022년 11월 3일	Old	887,000.00
2022년 11월 4일	Old	760,500.00
2022년 11월 5일	Old	478,000.00
2022년 11월 6일	Old	1,832,500.00
2022년 11월 7일	Old	1,418,750.00
2022년 11월 8일	Old	1,077,000.00
2022년 11월 9일	Old	864,000.00
2022년 11월 10일	Old	1,623,650.00
2022년 11월 11일	Old	1,604,000.00
2022년 11월 12일	Old	482,000.00
2022년 11월 13일	Old	858,800.00
2022년 11월 14일	Old	1,723,100.00
2022년 11월 15일	Old	658,000.00
2022년 11월 16일	Old	2,105,000.00
2022년 11월 17일	Old	1,467,800.00
2022년 11월 18일	Old	1,519,500.00
2022년 11월 19일	Old	1,819,400.00
2022년 11월 20일	Old	1,056,500.00
2022년 11월 21일	Old	1,385,000.00
2022년 11월 22일	Old	1,743,900.00
2022년 11월 23일	Old	2,021,700.00
2022년 11월 24일	Old	1,370,400.00
2022년 11월 25일	Old	1,122,500.00
2022년 11월 26일	Old	758,500.00
2022년 11월 27일	Old	653,500.00
2022년 11월 28일	Old	1,244,000.00
2022년 11월 29일	Old	1,541,500.00
2022년 11월 30일	Old	2,735,600.00
2022년 12월 1일	Old	1,223,000.00
2022년 12월 2일	Old	1,124,000.00
2022년 12월 3일	Old	870,000.00
